Ahr,V
0.0138,3.85232
0.2097,3.82147
0.3957,3.78767
0.6752,3.75829
1.0295,3.73332
1.44,3.71864
1.8693,3.70837
2.3174,3.69957
2.7654,3.69077
3.2135,3.68197
3.6428,3.67317
4.0909,3.66437
4.5389,3.65557
4.987,3.64824
5.435,3.63944
5.8644,3.63064
6.3124,3.62184
6.7605,3.61304
7.2086,3.60571
7.6566,3.59691
8.086,3.58958
8.534,3.58078
8.9821,3.57198
9.4301,3.56318
9.8782,3.55438
10.3075,3.54411
10.7555,3.53384
11.1849,3.52504
11.6329,3.51624
12.0809,3.50597
12.5103,3.49717
12.9396,3.48543
13.3689,3.47516
13.817,3.46637
14.2463,3.45463
14.6756,3.44436
15.1236,3.43409
15.5529,3.42235
15.9822,3.41061
16.4302,3.40181
16.8595,3.3886
17.2889,3.3798
17.7369,3.36806
18.1662,3.35779
18.6142,3.34605
19.0435,3.33578
19.4915,3.32551
19.9208,3.31377
20.3688,3.3035
20.7981,3.29176
21.2461,3.28149
21.6754,3.27122
22.1047,3.25948
22.5527,3.24774
22.9633,3.236
23.3926,3.22426
23.8033,3.21252
24.2139,3.19931
24.6244,3.1861
25.035,3.17289
25.4456,3.15821
25.8374,3.14206
26.2293,3.12591
26.6024,3.10535
26.9568,3.08626
27.2737,3.06129
27.5719,3.03337
27.8327,3.00399
28.1122,2.97461
28.3731,2.94522
28.6338,2.91437
28.8946,2.88352
29.1368,2.85413
29.3789,2.82328
