Ahr,V
0.0127,4.19941
0.1012,4.18075
0.2173,4.16097
0.4968,4.13159
0.8511,4.10956
1.2616,4.09194
1.6909,4.08167
2.1389,4.06993
2.5682,4.05672
2.9975,4.04498
3.4268,4.03177
3.8561,4.02003
4.2853,4.00682
4.7333,3.99361
5.1439,3.98187
5.5732,3.9716
6.0025,3.95986
6.4505,3.94813
6.8798,3.93639
7.3091,3.92465
7.757,3.91144
8.1863,3.8997
8.5969,3.88649
9.0262,3.87328
9.4555,3.86007
9.8848,3.84833
10.314,3.83512
10.7433,3.82191
11.1726,3.81017
11.6019,3.79696
12.0311,3.78375
12.4604,3.77054
12.8897,3.75733
13.319,3.74559
13.7482,3.73238
14.1775,3.72064
14.6068,3.70743
15.0548,3.69569
15.4841,3.68395
15.9134,3.67221
16.3427,3.66047
16.772,3.64873
17.2199,3.637
17.6492,3.62526
18.0786,3.61499
18.5079,3.60325
18.9558,3.59151
19.3852,3.58124
19.8145,3.5695
20.2625,3.55923
20.6918,3.54749
21.1398,3.53575
21.5691,3.52548
21.9984,3.51227
22.4277,3.50053
22.857,3.48879
23.2675,3.47558
23.6781,3.46237
24.0887,3.44769
24.4806,3.43301
24.8911,3.41833
25.283,3.40218
25.6748,3.38456
26.0666,3.36547
26.4397,3.34638
26.7941,3.32582
27.1298,3.30378
27.4653,3.27734
27.7636,3.2509
28.0431,3.22299
28.3226,3.19361
28.5834,3.16275
28.8255,3.1319
29.0489,3.09957
29.2536,3.06725
29.4209,3.03345
29.5695,2.99818
29.6808,2.96292
29.8019,2.92449
29.8234,2.89066
29.8447,2.84808
29.8511,2.80375
