Ahr,V
0.0093,4.05073
0.1393,4.01694
0.288,3.98167
0.5674,3.95229
0.9031,3.92732
1.2762,3.90823
1.7054,3.89502
2.1347,3.88328
2.5828,3.87448
3.0308,3.86568
3.4789,3.85688
3.9082,3.84808
4.3375,3.83634
4.7669,3.82607
5.1962,3.8158
5.6442,3.80406
6.0735,3.79232
6.5028,3.78058
6.9321,3.76884
7.38,3.7571
7.8093,3.74536
8.2386,3.73362
8.6866,3.72188
9.0972,3.70867
9.5452,3.69693
9.9745,3.68666
10.4038,3.67345
10.8331,3.66318
11.2624,3.65144
11.6917,3.63823
12.121,3.62796
12.5503,3.61622
12.9796,3.60301
13.4089,3.59274
13.8569,3.58101
14.2862,3.56927
14.7155,3.55753
15.1448,3.54579
15.5741,3.53405
16.0034,3.52378
16.4514,3.51204
16.8807,3.50177
17.31,3.49003
17.758,3.47976
18.1874,3.46949
18.6167,3.45775
19.0647,3.44895
19.494,3.43721
19.942,3.42694
20.3713,3.4152
20.8006,3.40493
21.2299,3.39319
21.6593,3.38292
22.0699,3.37265
22.4992,3.36091
22.9099,3.34917
23.3392,3.3389
23.7498,3.32716
24.1604,3.31395
24.571,3.30074
24.9629,3.28753
25.3548,3.27285
25.7466,3.25523
26.1384,3.23614
26.5115,3.21705
26.8472,3.19648
27.2202,3.17298
27.5559,3.14948
27.8728,3.12598
28.1897,3.09954
28.4319,3.07309
28.6742,3.04665
28.8977,3.0202
29.1584,2.98788
29.3444,2.95261
29.4838,2.92396
29.6045,2.8931
29.6785,2.85783
29.7238,2.79978
29.7246,2.83138
