Ahr,V
0.007031,3.9433
0.032813,3.91753
0.075,3.86598
0.107813,3.85309
0.15,3.84021
0.182812,3.84021
0.220313,3.81443
0.253125,3.80155
0.290625,3.78866
0.342188,3.75
0.379688,3.73711
0.426563,3.72423
0.46875,3.69845
0.520313,3.68557
0.5625,3.67268
0.595313,3.67268
0.642188,3.65979
0.69375,3.63402
0.735938,3.62113
0.76875,3.60825
0.810938,3.59536
0.848438,3.58247
0.895313,3.5567
0.9375,3.53093
0.99375,3.53093
1.03125,3.51804
1.06875,3.51804
1.120313,3.50516
1.167188,3.49227
1.223438,3.4665
1.270313,3.45361
1.3125,3.45361
1.345313,3.44072
1.3875,3.44072
1.4625,3.40206
1.532813,3.40206
1.579688,3.38918
1.607812,3.37629
1.659375,3.37629
1.70625,3.3634
1.753125,3.35052
1.804688,3.35052
1.842188,3.29897
1.889063,3.29897
1.917188,3.29897
1.964063,3.28608
2.015625,3.2732
2.053125,3.23454
2.114062,3.22165
2.165625,3.18299
2.221875,3.1701
2.273438,3.13144
2.301562,3.10567
2.329688,3.06701
2.3625,3.02835
2.404688,2.95103
2.428125,2.91237
2.446875,2.86083
2.465625,2.78351
2.479688,2.70619
2.49375,2.64175
2.505469,2.57732
