Ahr,V
0.011719,4.097938
0.042187,4.072165
0.065625,4.059278
0.09375,4.046392
0.145312,4.020619
0.16875,4.007732
0.196875,3.981959
0.234375,3.969072
0.267188,3.956186
0.304688,3.943299
0.3375,3.917526
0.365625,3.917526
0.407813,3.878866
0.464063,3.865979
0.50625,3.853093
0.534375,3.840206
0.567188,3.814433
0.604688,3.801546
0.642188,3.775773
0.670313,3.775773
0.703125,3.775773
0.745313,3.762887
0.796875,3.75
0.839063,3.737113
0.88125,3.71134
0.9375,3.685567
0.975,3.659794
1.0125,3.659794
1.040625,3.646907
1.073438,3.634021
1.10625,3.621134
1.134375,3.621134
1.171875,3.608247
1.223438,3.608247
1.260938,3.582474
1.303125,3.582474
1.340625,3.556701
1.378125,3.556701
1.40625,3.543814
1.453125,3.530928
1.48125,3.530928
1.51875,3.530928
1.551563,3.518041
1.589063,3.518041
1.617188,3.505155
1.654688,3.492268
1.692188,3.492268
1.725,3.466495
1.7625,3.466495
1.814063,3.466495
1.85625,3.440722
1.903125,3.414948
1.935938,3.414948
1.959375,3.402062
1.996875,3.389175
2.025,3.389175
2.048438,3.363402
2.071875,3.350515
2.1,3.337629
2.151563,3.311856
2.175,3.298969
2.203125,3.260309
2.23125,3.234536
2.259375,3.221649
2.282813,3.170103
2.310938,3.118557
2.334375,3.06701
2.367188,2.976804
2.376563,2.912371
2.395313,2.847938
2.409375,2.757732
2.41875,2.693299
2.430469,2.57732
