Ahr,V
0.00199,4.18482
0.0031,4.18262
0.0042,4.1804
0.00862,4.17176
0.01415,4.16268
0.01746,4.15819
0.02299,4.15185
0.02851,4.14651
0.0462,4.13302
0.07604,4.11589
0.08156,4.11316
0.08819,4.11
0.09372,4.10747
0.09482,4.10697
0.16113,4.08284
0.17771,4.07832
0.20092,4.07279
0.22744,4.06743
0.25949,4.06207
0.40317,4.04722
0.41201,4.04669
0.44074,4.04523
0.45069,4.04483
0.475,4.04406
0.64962,4.03761
0.65735,4.03688
0.68609,4.03352
0.7955,4.01109
0.85739,3.99249
0.8817,3.98392
0.88502,3.98268
0.91486,3.9708
1.04195,3.93185
1.0961,3.91958
1.10715,3.91717
1.15247,3.90744
1.1812,3.90136
1.51717,3.83016
1.55143,3.82259
1.61221,3.80897
1.70836,3.78703
2.08191,3.70024
2.08633,3.69923
2.1449,3.68596
2.21232,3.67101
2.24768,3.66334
2.46209,3.62115
2.68312,3.58732
2.73727,3.57784
2.83342,3.55949
3.11966,3.49787
3.17823,3.48369
3.19039,3.48062
3.20697,3.47634
3.34732,3.43627
3.41032,3.41967
3.47331,3.4076
3.52636,3.39793
3.57941,3.38587
3.59377,3.38176
3.61035,3.37636
3.63466,3.36682
3.65456,3.35755
3.73413,3.30924
3.74186,3.30397
3.74739,3.30021
3.75734,3.29352
3.76176,3.2906
3.82696,3.24885
3.84575,3.23543
3.8568,3.22666
3.85791,3.22574
3.86122,3.22292
3.90543,3.1787
3.93306,3.14642
3.94079,3.13702
3.94521,3.13161
3.94853,3.12754
3.98942,3.07663
3.99384,3.07108
4.02147,3.03631
4.02589,3.03075
4.03252,3.02242
4.05021,3.00015
4.05905,2.98883
4.08336,2.95607
4.09662,2.93655
4.10104,2.92967
4.1132,2.90957
4.11541,2.90569
4.12978,2.87868
4.14525,2.84594
4.15409,2.82537
4.17288,2.77589
4.1773,2.76261
4.20493,2.64213
4.23698,2.47458
