Ahr,V
0.00199,3.90931
0.0031,3.8976
0.0042,3.88689
0.00862,3.85693
0.01415,3.83589
0.01746,3.8272
0.02299,3.8157
0.02851,3.80631
0.0462,3.78317
0.07604,3.75786
0.08156,3.75482
0.08819,3.75163
0.09372,3.74929
0.09482,3.74885
0.16113,3.73296
0.17771,3.73085
0.20092,3.72857
0.22744,3.72666
0.25949,3.72494
0.40317,3.71915
0.41201,3.71874
0.44074,3.71732
0.45069,3.71678
0.475,3.71538
0.64962,3.70031
0.65735,3.6994
0.68609,3.69583
0.7955,3.67976
0.85739,3.66907
0.8817,3.66453
0.88502,3.66389
0.91486,3.65795
1.04195,3.6307
1.0961,3.61934
1.10715,3.61705
1.15247,3.60774
1.1812,3.60186
1.51717,3.5324
1.55143,3.52511
1.61221,3.51201
1.70836,3.49086
2.08191,3.4078
2.08633,3.40685
2.1449,3.3943
2.21232,3.3802
2.24768,3.37296
2.46209,3.33112
2.68312,3.29046
2.73727,3.2807
2.83342,3.26345
3.11966,3.2116
3.17823,3.20069
3.19039,3.1984
3.20697,3.19527
3.34732,3.16741
3.41032,3.15317
3.47331,3.13578
3.52636,3.11657
3.57941,3.09694
3.59377,3.09161
3.61035,3.08536
3.63466,3.07586
3.65456,3.06762
3.73413,3.02768
3.74186,3.02316
3.74739,3.01988
3.75734,3.01385
3.76176,3.01113
3.82696,2.96834
3.84575,2.95492
3.8568,2.94672
3.85791,2.94588
3.86122,2.94336
3.90543,2.90637
3.93306,2.87935
3.94079,2.87122
3.94521,2.86647
3.94853,2.86284
3.98942,2.81369
3.99384,2.80781
4.02147,2.7683
4.02589,2.76159
4.03252,2.75134
4.05021,2.72309
4.05905,2.70849
4.08336,2.66443
4.09662,2.63583
4.10104,2.62519
4.1132,2.59257
4.11541,2.58614
4.12978,2.54141
4.14525,2.48964
4.15409,2.45981
4.17288,2.39971
4.1773,2.38672
4.20493,2.32006
4.23698,2.27805
