Ahr,V
0.00012,3.3294
0.00182,3.29185
0.00935,3.2558
0.01839,3.21825
0.03797,3.18821
0.06961,3.16719
0.10426,3.15667
0.13891,3.14916
0.17657,3.14466
0.21273,3.14165
0.24738,3.13264
0.28052,3.13114
0.31667,3.12813
0.35283,3.12513
0.39049,3.12513
0.42665,3.12062
0.46431,3.12062
0.50047,3.11612
0.53813,3.11312
0.57579,3.11312
0.60894,3.10861
0.6466,3.10861
0.68125,3.1041
0.71891,3.1041
0.75507,3.0996
0.79273,3.0996
0.82888,3.09659
0.86504,3.09209
0.9027,3.09209
0.94037,3.09059
0.97652,3.08458
1.01268,3.08458
1.04883,3.08007
1.0865,3.08007
1.12265,3.07557
1.15881,3.07106
1.19647,3.07106
1.23112,3.06655
1.26728,3.06355
1.30343,3.05904
1.33959,3.05604
1.37725,3.05454
1.41341,3.05153
1.44956,3.04703
1.48722,3.04252
1.52338,3.03952
1.55954,3.03501
1.5972,3.03051
1.63335,3.026
1.668,3.01999
1.70416,3.01398
1.74182,3.01098
1.77647,3.00497
1.81263,2.99896
1.84728,2.98995
1.88343,2.98545
1.91658,2.97343
1.95273,2.96592
1.98738,2.95541
2.02052,2.94339
2.05367,2.93138
2.08832,2.91786
2.12146,2.89983
2.1531,2.88181
2.18323,2.86379
2.21336,2.84126
2.24047,2.81873
2.26608,2.7947
2.2932,2.76916
2.3158,2.74062
2.3384,2.71059
2.35798,2.68055
2.37907,2.649
2.39564,2.61596
2.41221,2.58292
2.42577,2.54837
2.44536,2.4913
2.45741,2.45525
2.46946,2.4207
2.47699,2.38315
2.48603,2.34711
2.49507,2.30956
2.51164,2.20742
2.51767,2.16987
2.52369,2.13383
2.52671,2.09628
2.52972,2.05873
2.53424,2.02118
